Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
Which of the following pooling techniques is most commonly used in CNNs?,Random pooling,Global pooling,Max pooling,Min pooling,Mean pooling,Max pooling
What is a common use case for the Selective Search algorithm?,Depth map generation,Region proposal for object detection,Pixel-level segmentation,Real-time object recognition,Image compression,Region proposal for object detection
How many direction bins are typically used in HOG for gradient orientation?,16,8,6,12,9,9
Which of the following are steps in HOG feature extraction?,Gradient vector computation,Normalization,Region proposal generation,Image preprocessing,Magnitude binning,Image preprocessing;Gradient vector computation;Magnitude binning;Normalization
What are common pooling techniques used in CNNs?,Random pooling,Strided pooling,Max pooling,Average pooling,Overlapping pooling,Max pooling;Average pooling;Overlapping pooling
Which components of feature extraction contribute to the robustness of SIFT and SURF?,Keypoint localization,Scale-space representation,Descriptor matching,Gradient computation,Color histograms,Keypoint localization;Descriptor matching;Scale-space representation;Gradient computation
Which layers typically contain learnable parameters in a CNN?,Convolutional layers,Pooling layers,Fully connected layers,Dropout layers,Activation layers,Convolutional layers;Fully connected layers
What is a typical application of HOG features in computer vision?,Semantic segmentation,Video compression,3D modeling,Depth estimation,Object detection,Object detection
What mathematical operation is performed in the Sobel operator?,Calculating the orientation of keypoints,Matching feature descriptors,Computing the pixel intensity,Gradient normalization,Convolution with a filter to detect edges,Convolution with a filter to detect edges
Which of the following are goals of image segmentation?,Detecting edges,Identifying image regions,Applying filters,Reducing image noise,Grouping similar pixels,Identifying image regions;Grouping similar pixels
What is the role of keypoint matching in SIFT-based object recognition?,To remove noise from the input image,To identify corresponding points between two images,To reduce image resolution,To improve the image contrast,To adjust the image orientation,To identify corresponding points between two images
What does the term 'internal difference' refer to in Felzenszwalb’s segmentation algorithm?,The average pixel intensity in a region,The Euclidean distance between two regions,The number of pixels in a region,The dissimilarity between two regions,The maximum weight of edges within a region,The dissimilarity between two regions
Which is the primary feature extraction method used in HOG?,Region segmentation,Pixel intensity histograms,Fourier transforms,Edge orientation histograms,Color histograms,Edge orientation histograms
In which layer are filters applied to detect local patterns in a CNN?,Pooling layer,Softmax layer,Batch normalization layer,Convolutional layer,Fully connected layer,Convolutional layer
Which property of SIFT features makes them robust to changes in scale and rotation?,Keypoint descriptor,Gradient orientation,Scale-space extrema detection,Color invariance,Histogram normalization,Scale-space extrema detection
What type of padding ensures that the input size remains the same after convolution?,Valid padding,Full padding,Stride padding,Same padding,Zero padding,Same padding
What makes SIFT features robust against changes in illumination?,Keypoint descriptor normalization,Filtering noise using convolution,Use of gradient magnitudes,Use of Gaussian filters,Use of color histograms,Keypoint descriptor normalization
